# path	undocumented_unsafe_limit	undocumented_ordering_limit
kernel/src/main.rs	2	0
kernel/nucleus-core/src/ap_trampoline.rs	0	0
kernel/nucleus-core/src/util/lockdep.rs	0	0
kernel/nucleus-core/src/bootstrap_stack.rs	0	0
kernel/hal/src/arch/idt/handlers.rs	4	0
kernel/hal/src/arch/acpi.rs	2	0
kernel/hal/src/arch/smp.rs	0	0
kernel/hal/src/arch/tlb_shootdown.rs	0	0
kernel/hal/src/arch/timer.rs	0	0
kernel/hal/src/arch/clock.rs	5	7
kernel/hal/src/arch/rtc.rs	3	18
kernel/compat/src/user/syscall/linux/service_ops/process_time.rs	1	0
kernel/hal/src/arch/msi.rs	5	19
kernel/hal/src/arch/pci.rs	4	0
kernel/hal/src/arch/gdt.rs	4	0
kernel/hal/src/interrupt_stubs.rs	0	0
kernel/lowlevel/src/interrupts.rs	3	4
kernel/ipc-runtime/src/ipc/mod.rs	1	12
kernel/io-manager/src/driver/mmio.rs	0	0
kernel/executive/src/boot.rs	2	1
libs/driver-domain-host/src/lib.rs	23	4
kernel/ipc-runtime/src/ipc/endpoint_priority.rs	0	0
kernel/mm/src/memory/address_space.rs	24	0
kernel/mm/src/memory/address_space/atomic_user.rs	0	0
kernel/mm/src/memory/address_space/rollback.rs	0	0
kernel/mm/src/memory/kernel_vm.rs	16	0
kernel/mm/src/memory/phys.rs	5	0
kernel/mm/src/memory/heap.rs	9	0
kernel/mm/src/api.rs	0	0
libs/rustos-svc-runtime/src/allocator.rs	9	5
services/syscalld/src/linux_policy.rs	3	0
services/syscalld/src/affinity_policy.rs	0	0
services/syscalld/src/mmap_policy.rs	0	0
libs/rustos-user-abi/src/syscall/affinity.rs	0	0
libs/rustos-user-abi/src/syscall/activation_batch.rs	0	0
kernel/ps/src/multitask/process_table.rs	2	0
kernel/ps/src/user/process_state.rs	0	0
kernel/ps/src/multitask/scheduler.rs	16	0
kernel/ps/src/multitask/scheduler/affinity.rs	0	0
kernel/ps/src/multitask/scheduler/handoff_queue.rs	0	0
kernel/ps/src/multitask/scheduler/handoffs.rs	0	0
kernel/ps/src/multitask/scheduler/sync_handoff.rs	0	0
kernel/ps/src/multitask/scheduler/reclaim.rs	0	0
kernel/ps/src/multitask/cpu_local.rs	0	0
kernel/ps/src/multitask/scheduler/smp.rs	0	0
kernel/ps/src/multitask/current.rs	44	0
kernel/ps/src/multitask/irq.rs	6	15
kernel/ps/src/user/sysops/usermem.rs	2	0
kernel/ps/src/user/syscall.rs	0	0
kernel/ps/src/api.rs	0	0
kernel/ps/src/user/epoll.rs	0	0
kernel/ps/src/user/handles/table.rs	0	0
kernel/compat/src/user/syscall/linux/ipc_ops.rs	1	56
kernel/compat/src/user/syscall/linux/ipc_reply_recv.rs	0	0
kernel/compat/src/user/syscall/linux/ipc_ops/subject.rs	0	0
kernel/compat/src/user/syscall/linux/proc_broker_ops.rs	0	0
kernel/compat/src/user/syscall/linux/proc_broker_ops/authority.rs	0	0
kernel/compat/src/user/syscall/linux/proc_broker_ops/activation_batch.rs	0	0
kernel/compat/src/user/syscall/linux/syscalld_ops.rs	0	0
kernel/compat/src/user/syscall/linux/service_ops/ipc_helpers.rs	1	0
kernel/compat/src/user/syscall/linux/service_ops/local_memfd_io.rs	0	0
kernel/compat/src/user/syscall/linux/service_ops/vfs_socket.rs	0	0
kernel/compat/src/user/syscall/linux/mm_broker_ops.rs	0	0
kernel/compat/src/user/syscall/linux/service_ops/poll_epoll.rs	2	0
kernel/compat/src/user/syscall/linux/service_ops/poll_epoll/control.rs	0	0
kernel/compat/src/user/syscall/linux/waitset_broker_ops.rs	0	0
kernel/compat/src/user/syscall/linux/service_ops/futex_thread.rs	0	0
kernel/compat/src/user/syscall/linux/block_broker_ops.rs	0	0
kernel/compat/src/user/syscall/linux/input_broker_ops.rs	1	0
kernel/compat/src/user/syscall/windows/api.rs	0	0
kernel/compat/src/user/syscall/windows/dispatch.rs	0	0
kernel/io-manager/src/io/dvm_block.rs	15	47
kernel/io-manager/src/io/dvm_network.rs	6	12
kernel/io-manager/src/input/dvm_ring.rs	10	76
kernel/io-manager/src/io/dvm_display.rs	13	219
kernel/io-manager/src/api.rs	0	0
services/rootd/src/main.rs	20	27
services/initd/src/main.rs	0	0
services/initd/src/activation.rs	0	0
services/initd/src/bootstrap_barrier.rs	0	0
services/loaderd/src/lib.rs	0	0
services/loaderd/src/main.rs	10	2
services/vfsd/src/main.rs	33	2
services/storaged/src/block.rs	1	0
services/inputd/src/main.rs	10	2
services/inputd/src/service_loop.rs	0	0
services/netd/src/main.rs	9	11
services/runtimed/src/spawn.rs	10	0
services/runtimed/src/socket.rs	15	0
services/uiserver/src/wayland.rs	13	6
services/uiserver/src/wayland_accept.rs	0	0
services/uiserver/src/gpu_runtime.rs	1	0
kernel/compat/src/user/syscall/linux/device_broker_ops.rs	0	0
kernel/ps/src/user/memfd.rs	0	0
services/devmgrd/src/main.rs	0	0
libs/rustos-user-abi/src/windows.rs	0	0
compat/windows/services/winsys/common/win_types.h	0	0
compat/windows/services/winsys/kernelbase/exports.c	0	0
compat/windows/services/winsys/ntdll/syscall.c	0	0
