ecosystem,repository,number,title,outcome,review_theme,reason_confirmed,reason_note,url
genodelabs,genodelabs/genode,1494,hw_x86_64 changes,merged,architecture_platform,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/1494
genodelabs,genodelabs/genode,230,Issue#226,merged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/230
genodelabs,genodelabs/genode,5867,Add BAR fixup for I2C controller on Framework 13 Tiger Lake,closed_unmerged,driver_storage_network,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5867
genodelabs,genodelabs/genode,5590,Fix potential vulnerable cloned function,closed_unmerged,security_memory_safety,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5590
genodelabs,genodelabs/genode,5853,AHCI: Resolve port initialization conflict on boot vs S4 resume,closed_unmerged,driver_storage_network,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5853
genodelabs,genodelabs/genode,5801,libc: group database,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5801
genodelabs,genodelabs/genode,5784,fb_sdl: SDL2/3 compatability conversion,closed_unmerged,abi_lifecycle,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5784
genodelabs,genodelabs/genode,5648,doc: fix minor typos in 25.02 release notes,closed_unmerged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5648
genodelabs,genodelabs/genode,4787,sculpt: whitelist iwlwifi-9260 firmware and enable routing,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/4787
genodelabs,genodelabs/genode,5505,ports: replace ftp urls to http,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5505
genodelabs,genodelabs/genode,5292,"Update hello_tutorial, fix #5291",closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5292
genodelabs,genodelabs/genode,5281,.,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5281
genodelabs,genodelabs/genode,5283,.,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5283
genodelabs,genodelabs/genode,4967,remove duplicates for libs to visit during make,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/4967
genodelabs,genodelabs/genode,5197,docs: fix small typo,closed_unmerged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/5197
genodelabs,genodelabs/genode,4991,doc/depot: fix minor typos,closed_unmerged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/4991
genodelabs,genodelabs/genode,4993,fb_sdl: update to use sdl2,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/genodelabs/genode/pull/4993
